,Branch,Date,# Drops,# Partials,# Irregular Borrower,# Paid Off Yesterday,# Today Disbursed,# Today Paid Off,# Virtual New Borrower (Disbursed),# Returning Borrowers (Disbursed),# CGT Trainings,New Members (pending loans not yet approved),# Recognized Return Members (pending loans not yet approved),$ Portfolio Outstanding,Center #,Total # Active Members,# Active Members Present,# Active Members late,# Active Members Absent Excused,# Active Members Absent Unexcused,Reasons for Lateness or Absences
34,02 - Gates Avenue - Brooklyn 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
35,02 - Gates Avenue - Brooklyn 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
36,02 - Gates Avenue - Brooklyn 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
37,02 - Gates Avenue - Brooklyn 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
38,02 - Gates Avenue - Brooklyn 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
39,02 - Gates Avenue - Brooklyn 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
40,02 - Gates Avenue - Brooklyn 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
41,02 - Gates Avenue - Brooklyn 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
42,02 - Gates Avenue - Brooklyn 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
43,02 - Gates Avenue - Brooklyn 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
44,02 - Gates Avenue - Brooklyn 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
45,02 - Gates Avenue - Brooklyn 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
46,02 - Gates Avenue - Brooklyn 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
47,02 - Gates Avenue - Brooklyn 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
48,02 - Gates Avenue - Brooklyn 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
49,02 - Gates Avenue - Brooklyn 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
50,02 - Gates Avenue - Brooklyn 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
51,02 - Gates Avenue - Brooklyn 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
52,02 - Gates Avenue - Brooklyn 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
53,02 - Gates Avenue - Brooklyn 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
54,02 - Gates Avenue - Brooklyn 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
55,02 - Gates Avenue - Brooklyn 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
56,02 - Gates Avenue - Brooklyn 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
57,02 - Gates Avenue - Brooklyn 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
58,03 - South Omaha - Omaha,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
59,03 - South Omaha - Omaha,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
60,03 - South Omaha - Omaha,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
61,03 - South Omaha - Omaha,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
62,03 - South Omaha - Omaha,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
63,03 - South Omaha - Omaha,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
64,03 - South Omaha - Omaha,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
65,03 - South Omaha - Omaha,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
66,03 - South Omaha - Omaha,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
67,03 - South Omaha - Omaha,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
68,03 - South Omaha - Omaha,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
69,03 - South Omaha - Omaha,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
70,03 - South Omaha - Omaha,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
71,03 - South Omaha - Omaha,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
72,03 - South Omaha - Omaha,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
73,03 - South Omaha - Omaha,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
74,03 - South Omaha - Omaha,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
75,03 - South Omaha - Omaha,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
76,03 - South Omaha - Omaha,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
77,03 - South Omaha - Omaha,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
78,03 - South Omaha - Omaha,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
79,03 - South Omaha - Omaha,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
80,03 - South Omaha - Omaha,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
81,03 - South Omaha - Omaha,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
82,03 - South Omaha - Omaha,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
83,03 - South Omaha - Omaha,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
84,03 - South Omaha - Omaha,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
85,03 - South Omaha - Omaha,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
86,03 - South Omaha - Omaha,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
87,04 - Inwood - Manhattan 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
88,04 - Inwood - Manhattan 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
89,04 - Inwood - Manhattan 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
90,04 - Inwood - Manhattan 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
91,04 - Inwood - Manhattan 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
92,04 - Inwood - Manhattan 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
93,04 - Inwood - Manhattan 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
94,04 - Inwood - Manhattan 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
95,04 - Inwood - Manhattan 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
96,04 - Inwood - Manhattan 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
97,04 - Inwood - Manhattan 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
98,04 - Inwood - Manhattan 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
99,04 - Inwood - Manhattan 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
100,04 - Inwood - Manhattan 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
101,04 - Inwood - Manhattan 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
102,04 - Inwood - Manhattan 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
103,04 - Inwood - Manhattan 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
104,04 - Inwood - Manhattan 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
105,04 - Inwood - Manhattan 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
106,04 - Inwood - Manhattan 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
107,04 - Inwood - Manhattan 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
108,04 - Inwood - Manhattan 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
109,04 - Inwood - Manhattan 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
110,04 - Inwood - Manhattan 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
111,04 - Inwood - Manhattan 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
112,04 - Inwood - Manhattan 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
113,04 - Inwood - Manhattan 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
114,04 - Inwood - Manhattan 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
115,04 - Inwood - Manhattan 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
116,05 - South Bronx - Bronx,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
117,05 - South Bronx - Bronx,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
118,05 - South Bronx - Bronx,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
119,05 - South Bronx - Bronx,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
120,05 - South Bronx - Bronx,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
121,05 - South Bronx - Bronx,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
122,05 - South Bronx - Bronx,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
123,05 - South Bronx - Bronx,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
124,05 - South Bronx - Bronx,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
125,05 - South Bronx - Bronx,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
126,05 - South Bronx - Bronx,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
127,05 - South Bronx - Bronx,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
128,05 - South Bronx - Bronx,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
129,05 - South Bronx - Bronx,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
130,05 - South Bronx - Bronx,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
131,05 - South Bronx - Bronx,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
132,05 - South Bronx - Bronx,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
133,05 - South Bronx - Bronx,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
134,05 - South Bronx - Bronx,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
135,05 - South Bronx - Bronx,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
136,05 - South Bronx - Bronx,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
137,05 - South Bronx - Bronx,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
138,05 - South Bronx - Bronx,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
139,05 - South Bronx - Bronx,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
140,05 - South Bronx - Bronx,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
141,05 - South Bronx - Bronx,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
142,05 - South Bronx - Bronx,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
143,05 - South Bronx - Bronx,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
144,05 - South Bronx - Bronx,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
145,06 - Indianapolis - Indiana,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
146,06 - Indianapolis - Indiana,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
147,06 - Indianapolis - Indiana,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
148,06 - Indianapolis - Indiana,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
149,06 - Indianapolis - Indiana,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
150,06 - Indianapolis - Indiana,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
151,06 - Indianapolis - Indiana,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
152,06 - Indianapolis - Indiana,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
153,06 - Indianapolis - Indiana,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
154,06 - Indianapolis - Indiana,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
155,06 - Indianapolis - Indiana,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
156,06 - Indianapolis - Indiana,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
157,06 - Indianapolis - Indiana,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
158,06 - Indianapolis - Indiana,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
159,06 - Indianapolis - Indiana,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
160,06 - Indianapolis - Indiana,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
161,06 - Indianapolis - Indiana,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
162,06 - Indianapolis - Indiana,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
163,06 - Indianapolis - Indiana,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
164,06 - Indianapolis - Indiana,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
165,06 - Indianapolis - Indiana,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
166,06 - Indianapolis - Indiana,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
167,06 - Indianapolis - Indiana,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
168,06 - Indianapolis - Indiana,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
169,06 - Indianapolis - Indiana,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
170,06 - Indianapolis - Indiana,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
171,06 - Indianapolis - Indiana,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
172,06 - Indianapolis - Indiana,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
173,06 - Indianapolis - Indiana,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
174,07 - Oakland - SF Bay Area 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
175,07 - Oakland - SF Bay Area 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
176,07 - Oakland - SF Bay Area 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
177,07 - Oakland - SF Bay Area 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
178,07 - Oakland - SF Bay Area 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
179,07 - Oakland - SF Bay Area 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
180,07 - Oakland - SF Bay Area 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
181,07 - Oakland - SF Bay Area 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
182,07 - Oakland - SF Bay Area 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
183,07 - Oakland - SF Bay Area 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
184,07 - Oakland - SF Bay Area 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
185,07 - Oakland - SF Bay Area 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
186,07 - Oakland - SF Bay Area 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
187,07 - Oakland - SF Bay Area 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
188,07 - Oakland - SF Bay Area 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
189,07 - Oakland - SF Bay Area 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
190,07 - Oakland - SF Bay Area 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
191,07 - Oakland - SF Bay Area 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
192,07 - Oakland - SF Bay Area 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
193,07 - Oakland - SF Bay Area 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
194,07 - Oakland - SF Bay Area 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
195,07 - Oakland - SF Bay Area 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
196,07 - Oakland - SF Bay Area 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
197,07 - Oakland - SF Bay Area 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
198,07 - Oakland - SF Bay Area 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
199,07 - Oakland - SF Bay Area 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
200,07 - Oakland - SF Bay Area 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
201,07 - Oakland - SF Bay Area 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
202,07 - Oakland - SF Bay Area 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
203,08 - Jamaica/LIC - Queens 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
204,08 - Jamaica/LIC - Queens 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
205,08 - Jamaica/LIC - Queens 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
206,08 - Jamaica/LIC - Queens 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
207,08 - Jamaica/LIC - Queens 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
208,08 - Jamaica/LIC - Queens 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
209,08 - Jamaica/LIC - Queens 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
210,08 - Jamaica/LIC - Queens 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
211,08 - Jamaica/LIC - Queens 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
212,08 - Jamaica/LIC - Queens 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
